title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Watermelon Sugar","Harry Styles","Fine Line",USSM11912587,spotify,6UelLqGlWMcVH1E5c4H7lY,174s,"2021-05-18 16:49",nick170708!,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
"Lost Cause","Billie Eilish","Lost Cause",USUM72105929,spotify,2xdwCJLfKCkat14mlgR26M,212s,"2021-06-08 17:35",nick170708!,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
"Selfish Love (with Selena Gomez)","DJ Snake, Selena Gomez","Selfish Love (with Selena Gomez)",USUG12100197,spotify,3XoflnowYPFRPOh3uFvHcm,169s,"2021-05-18 16:50",nick170708!,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
"What You Know Bout Love","Pop Smoke",LOVE,USUM72013339,spotify,5TnQ453LtEy08EwrIUtB1e,160s,"2021-05-18 16:50",nick170708!,https://open.spotify.com/track/5TnQ453LtEy08EwrIUtB1e
Dynamite,BTS,BE,QM7282022872,spotify,4saklk6nie3yiGePpBwUoc,199s,"2021-05-18 16:50",nick170708!,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
"Head & Heart (feat. MNEK)","Joel Corry, MNEK","Head & Heart (feat. MNEK)",UK4ZF2000305,spotify,6cx06DFPPHchuUAcTxznu9,166s,"2021-05-18 16:50",nick170708!,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
"Save Your Tears","The Weeknd","After Hours",USUG12000658,spotify,5QO79kh1waicV47BqGRL3g,216s,"2021-05-18 16:50",nick170708!,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
Body,"Megan Thee Stallion","Good News",QMCE32000683,spotify,0A1hoCfMLkiAgvhWkkucJa,171s,"2021-05-18 16:50",nick170708!,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
"Best Friend (feat. Doja Cat)","Saweetie, Doja Cat","Best Friend (feat. Doja Cat)",USWB12004547,spotify,2etHQJxIbV0soyPhelVs9Y,156s,"2021-05-18 16:50",nick170708!,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion","34+35 (Remix)",USUM72024483,spotify,3jjBPF4NDMCU51psU8JPpR,182s,"2021-05-18 16:50",nick170708!,https://open.spotify.com/track/3jjBPF4NDMCU51psU8JPpR
"What’s Next",Drake,"Scary Hours 2",USUG12101041,spotify,3aQem4jVGdhtg116TmJnHz,178s,"2021-05-18 16:51",nick170708!,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
"On The Ground",ROSÉ,R,KRA402100040,spotify,2pn8dNVSpYnAtlKFC8Q0DJ,168s,"2021-05-18 16:51",nick170708!,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
"As I Am (feat. Khalid)","Justin Bieber, Khalid",Justice,USUM72102629,spotify,6F2r4HgpJnvKDmkN6JEN6J,174s,"2021-05-18 16:51",nick170708!,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
"Met Him Last Night (feat. Ariana Grande)","Demi Lovato, Ariana Grande","Dancing With The Devil…The Art of Starting Over",USUM72103751,spotify,0BI0hfbmqybnd3TezrDME3,205s,"2021-05-18 16:51",nick170708!,https://open.spotify.com/track/0BI0hfbmqybnd3TezrDME3
pov,"Ariana Grande",Positions,USUM72020441,spotify,3UoULw70kMsiVXxW0L3A33,202s,"2021-05-18 16:51",nick170708!,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
